Name,Quantity,Measurement,Ingredient
sesame tofu,2,blocks,tofu
sesame tofu,2,t,sesame oil
sesame tofu,2,T,soy sauce
sesame tofu,2,T,cornstarch
sesame tofu,1/2,c,soy sauce
sesame tofu,3,cloves,garlic
sesame tofu,1/4,c,maple syrup
sesame tofu,1-2,t,sriracha
sesame tofu,2,T,cornstarch
sesame tofu,1/4,c,water
sesame tofu,1,T,sesame oil
sesame tofu,1/4,c,rice vinegar
sesame tofu,4,c,rice
sesame tofu,,,sesame seeds
sesame tofu,,,broccoli
sesame tofu,,,zucchini
chickpea curry,1,,onion
chickpea curry,1,cloves,garlic
chickpea curry,1,t,ginger
chickpea curry,1,T,olive oil
chickpea curry,6,c,spinach
chickpea curry,28,oz,fire roasted tomatoes
chickpea curry,1,T,curry powder
chickpea curry,1,t,cumin
chickpea curry,1/2,t,coriander
chickpea curry,3/4,t,salt
chickpea curry,2,cans,chickpeas
chickpea curry,1/2,c,coconut milk
chickpea curry,1,c,white rice
quinoa burgers,1/4,c,quinoa
quinoa burgers,1/2,c,water
quinoa burgers,1,can,black beans
quinoa burgers,3,oz,tomato paste
quinoa burgers,1,t,paprika
quinoa burgers,1,t,onion powder
quinoa burgers,1/2,t,garlic powder
quinoa burgers,1/2,t,oregano
quinoa burgers,1/2,t,salt
quinoa burgers,1/2,t,pepper
quinoa burgers,1/3,c,bread crumbs (sub flour)
quinoa burgers,1,T,olive oil
thai green curry,3,T,curry paste
thai green curry,1,can,coconut milk
thai green curry,2,blocks,tofu
thai green curry,1/4,c,broth
thai green curry,2,T,fish sauce
thai green curry,2,t,brown sugar
thai green curry,1,T,lime juice
thai green curry,1,c,bell peppers
thai green curry,1,c,carrots
thai green curry,1/2,c,bamboo shoots
thai green curry,1,can,water chestnuts,
thai green curry,,, lime and basil leaves
chickpea gnocchi soup,2,T,olive oil
chickpea gnocchi soup,1,,onion
chickpea gnocchi soup,1,c,carrots
chickpea gnocchi soup,1,c,celery
chickpea gnocchi soup,6,cloves,garlic
chickpea gnocchi soup,2,t,thyme
chickpea gnocchi soup,1,t,oregano
chickpea gnocchi soup,1,t,sage
chickpea gnocchi soup,16,oz,gnocchi
chickpea gnocchi soup,2,c,spinach
chickpea gnocchi soup,1,t,vinegar
chickpea gnocchi soup,32,oz,vegetable broth
chickpea gnocchi soup,1,can,coconut milk
chickpea gnocchi soup,1,can,chickpeas
chickpea gnocchi soup,1,T,nutritional yeast
orange tofu,1,block,tofu
orange tofu,3/4,c,orange juice
orange tofu,1,t,orange zest
orange tofu,1,t,ginger
orange tofu,1,clove,garlic
orange tofu,2,T,brown sugar
orange tofu,2,T,soy sauce
orange tofu,1,T,vinegar
orange tofu,1,T,cornstarch
orange tofu,1,bell,pepper
orange tofu,4,c,rice
fried rice,1,block,EF tofu
fried rice,1,c,rice
fried rice,4,cloves,garlic
fried rice,1/2,c,peas
fried rice,1/2,c,carrots
fried rice,3,T,soy sauce
fried rice,1,T,peanut butter
fried rice,2,t,chili sauce
fried rice,1,t,sesame oil
rigatoni casserole,1,lb,rigatoni
rigatoni casserole,28,oz,pasta sauce
rigatoni casserole,1/3,c,lentils
rigatoni casserole,1,T,balsamic vinegar
rigatoni casserole,1,t,Italian seasoning
rigatoni casserole,2,cloves,garlic
rigatoni casserole,2,c,water
rigatoni casserole,7,oz,tofu
rigatoni casserole,1,T,olive oil
rigatoni casserole,1/2,t,garlic powder
rigatoni casserole,1/2,t,nutritional yeast
rigatoni casserole,3/4,t,salt
rigatoni casserole,1/4,t,onion powder
rigatoni casserole,1,t,lemon juice
rigatoni casserole,1/2,c,water
rigatoni casserole,2,t,flour
thai red curry casserole,4,T,red curry paste
thai red curry casserole,1,c,coconut milk
thai red curry casserole,1,c,vegetable broth
thai red curry casserole,1.5,T,soy sauce
thai red curry casserole,2,cloves,garlic
thai red curry casserole,1/4,t,salt
thai red curry casserole,125,g,carrot
thai red curry casserole,80,g,onion
thai red curry casserole,1,,bellpepper
thai red curry casserole,1,can,chickpeas
thai red curry casserole,180,g,broccoli
thai red curry casserole,1,c,rice
chickpea pasta salad,1/2,lb,pasta
chickpea pasta salad,15,oz,chickpeas
chickpea pasta salad,1.5,c,cherry tomatoes
chickpea pasta salad,1.5,c,cucumber
chickpea pasta salad,1/2,c,olives
chickpea pasta salad,1/2,c,corn
chickpea pasta salad,1/2,c,parsley
chickpea pasta salad,1,avocado,(optional)
chickpea pasta salad,4,T,olive oil
chickpea pasta salad,2,T,lemon juice
chickpea pasta salad,1,T,mustard
chickpea pasta salad,1,T,maple syrup
chickpea pasta salad,3/4,t,salt
chickpea pasta salad,1/4,t,pepper
chickpea pasta salad,1,t,cumin
chickpea pasta salad,1/2,t,garlic powder
protein lemon bars,1/2,c,protein powder
protein lemon bars,1/2,c,almond flour
protein lemon bars,1/2,t,baking soda
protein lemon bars,1/2,t,salt
protein lemon bars,3,T,butter
protein lemon bars,1-2,T,water
protein lemon bars,1/2,c,protein powder
protein lemon bars,3/4,c,sweetener
protein lemon bars,1/2,c,yogurt
protein lemon bars,3,T,cornstarch
protein lemon bars,1/2,c,water
protein lemon bars,1/3,c,lemon juice
protein lemon bars,1/2,t,vanilla
protein lemon bars,dash,turmeric,
pad thai,3,cloves,garlic
pad thai,1/2,,zucchini
pad thai,,,carrots
pad thai,1,large,broccoli
pad thai,20,g,brown sugar
pad thai,3,T,lime juice
pad thai,110,g,soy sauce
pad thai,30,g,brown sugar
pad thai,40,g,peanut butter
pad thai,5,g,sesame oil
pad thai,1,t,ginger
pad thai,1,t,pepper
pad thai,200,g,rice noodles
pad thai,30,g,chopped peanuts
pad thai,50,g,bean sprouts
pad thai,1/4,,lime
pasta with tofu & veggies,12,oz,pasta
pasta with tofu & veggies,4,c,pasta sauce
pasta with tofu & veggies,2,blocks,extra firm tofu
pasta with tofu & veggies,2,c,edamame
pasta with tofu & veggies,16,c,spinach
pasta with tofu & veggies,4,t,sunflower seeds
pasta with tofu & veggies,1/4,c,nutritional yeast
sweet chili tofu,1,1/2,c brown rice
sweet chili tofu,14,oz,lite coconut milk
sweet chili tofu,1,1/2,c water
sweet chili tofu,1,block,tofu
sweet chili tofu,1/2,c,sweet chili sauce
sweet chili tofu,2,c,frozen mango
